Accepted Symbol,Scientific Name,Common Name
HYMO6,Hydrocharis morsus-ranae L.,common frogbit
ISFA,Isoetes ×fairbrothersii J.D. Montgom. & W.C. Taylor [engelmannii × lacustris],quillwort
LEAP6,Lepidium apetalum Willd.,pepperweed
LEAL35,Leucobryum albidum (Brid. ex P. Beauv.) Lindb.,leucobryum moss
MAHU2,Malus hupehensis (Pamp.) Rehder,Chinese crab apple
MELI5,Medicago littoralis Rhode ex Loisel.,water medick
METU,Medicago turbinata (L.) All.,southern medick
MIPR2,Mitella prostrata Michx.,creeping bishop's cap
MOMA6,Morella ×macfarlanei (Youngken) Kartesz [cerifera × pensylvanica],bayberry
NINI,Nipponanthemum nipponicum (Franch. ex Maxim.) Kitam.,Nippon daisy
OEMO,Oenothera mollissima L.,Argentine evening primrose
ORAN70,Orthotrichum anomalum Hedw.,orthotrichum moss
PHAR4,Phleum arenarium L.,sand timothy
PHVI15,Phyllostachys viridiglaucescens A. Rivière & C. Rivière,greenwax golden bamboo
PLCU4,Plagiomnium cuspidatum (Hedw.) T. Kop.,toothed plagiomnium moss
PLRI4,Platyhypnidium riparioides (Hedw.) Dix.,platyhypnidium moss
PLSC70,Pleurozium schreberi (Brid.) Mitt.,Schreber's big red stem moss
POPL9,Polygonum plebeium R. Br.,common knotweed
POCO38,Polytrichum commune Hedw.,polytrichum moss
POJU70,Polytrichum juniperinum Hedw.,juniper polytrichum moss
POOH,Polytrichum ohioense Renauld & Cardot,Ohio polytrichum moss
POPI10,Polytrichum piliferum Hedw.,polytrichum moss
POOB4,Potamogeton oblongus Viv.,cinnamonspot pondweed
QUCA3,Quercus ×caesariensis Moldenke [falcata × ilicifolia],hybrid oak
QUGI,Quercus ×giffordii Trel. [ilicifolia × phellos],hybrid oak
QUSU3,Quercus ×substellata Trel. [bicolor × stellata],hybrid oak
REPI,Reichardia picroides (L.) Roth,common brighteyes
RHAR7,Rhexia aristosa × virginica [unnamed hybrid],hybrid meadowbeauty
RHRO6,Rhodobryum roseum (Hedw.) Limpr.,rose rhodobryum moss
RHJA2,Rhododendron japonicum (A. Gray) Sur.,Japanese azalea
RHKN,Rhynchospora knieskernii Carey,Knieskern's beaksedge
RUAP2,Rubus aptatus L.H. Bailey,drybank dewberry
RUGN,Rubus gnarus L.H. Bailey,Pollock's Mill blackberry
RUNO5,Rubus novocaesarius L.H. Bailey,Tuckahoe dewberry
RUPA13,Rubus parcifrondifer L.H. Bailey,Silver Creek blackberry
SATE2,Sagittaria teres S. Watson,slender arrowhead
SAPA38,Salvia pallida Benth.,pale sage
SAEB,Sambucus ebulus L.,dwarf elderberry
SCLA14,Schoenoplectus lacustris (L.) Palla,lakeshore bulrush
SCFL9,Scoparia flava Cham. & Schltdl.,yellow licorice weed
SCCA20,Scrophularia canina L.,dog figwort
SCCAC2,Scrophularia canina L. ssp. canina ,dog figwort
SCCAH,Scrophularia canina L. ssp. hoppii (Koch) Fourn.,Hopp's figwort
SEAQ,Senecio aquaticus Hill,water ragwort
SEAQB,Senecio aquaticus Hill ssp. barbareifolius (Wimm. & Grab.) S.M. Walters,water ragwort
SIST5,Sida stipularis Cav.,stipule fanpetals
SIIT,Silene italica (L.) Pers.,Italian catchfly
SPBO2,Sphaeralcea bonariensis (Cav.) Griseb.,Latin globemallow
SPCA70,Sphagnum capillifolium (Ehrh.) Hedw.,sphagnum
SPCU4,Sphagnum cuspidatum Ehrh. ex Hoffm.,toothed sphagnum
SPFA2,Sphagnum fallax (Klinggr.) Klinggr.,sphagnum
SPFI4,Sphagnum fimbriatum Wilson,sphagnum
SPFL7,Sphagnum flexuosum Dozy & Molk.,sphagnum
SPPA70,Sphagnum palustre L.,prairie sphagnum
SPPL70,Sphagnum platyphyllum (Lindb. ex Braithw.) Sull. ex Warnst.,sphagnum
SPRE70,Sphagnum recurvum P. Beauv.,recurved sphagnum
SPSQ70,Sphagnum squarrosum Crome,sphagnum
SPSU9,Sphagnum subsecundum Nees,sphagnum
SPSU7,Sphagnum subtile (Russow) Warnst.,sphagnum
SPTE11,Sphagnum tenerum Sull. & Lesq.,sphagnum
STOC6,Stachys ocymastrum (L.) Briq.,Italian hedgenettle
STRE6,Stachys recta L.,stiff hedgenettle
SURO,Suaeda rolandii Bassett & C.W. Crompton,Roland's seablite
TAME2,Taxus ×media Rehder [baccata × cuspidata],hybrid yew
TRSC7,Trifolium scabrum L.,rough clover
TRMA21,Tripogon major Hook. f.,big tripogon
TRAU3,Trisetum aureum (Ten.) Ten.,golden oatgrass
VERA2,Verbascum ×ramigerum Link ex Schrad. [densiflorum × lychnitis],mullein
VESP2,Verbascum ×spurium K. Koch [lychnitis × thapsus],mullein
VIMO80,Vicia monantha Retz.,barn vetch
VICO5,Viola ×consocia House [affinis × cucullata],hybrid violet
VIEA,Viola ×eamesii House [brittoniana × ×palmata],hybrid violet
VIMO4,Viola ×mollicula House [macloskeyi × ×primulifolia],hybrid violet
VIMU4,Viola ×mulfordiae Pollard (pro sp.) [brittoniana × sagittata],hybrid violet
AMJA,×Amelasorbus jackii Rehder [Amelanchier alnifolia × Sorbus scopulina],Jack's amelasorbus
ACHE10,Achnatherum hendersonii (Vasey) Barkworth,Henderson's needlegrass
ALAA,Allium aaseae Ownbey,South Idaho onion
ALDO,Allium douglasii Hook.,Douglas' onion
ALMA6,Allium madidum S. Watson,swamp onion
ALTOP,Allium tolmiei (Hook.) Baker ex S. Watson var. persimile Ownbey,sevendevils onion
ALTOP2,Allium tolmiei (Hook.) Baker ex S. Watson var. platyphyllum (Tidestr.) Ownbey,Wallowa onion
ANPOP,Andromeda polifolia L. var. polifolia ,bog rosemary
ANSES3,Androsace septentrionalis L. ssp. septentrionalis ,pygmyflower rockjasmine
ARCR,Arabis crucisetosa Constance & Rollins,wetsoil rockcress
ARCOG,Arenaria congesta Nutt. var. glandulifera Maguire,gland sandwort
ARTRX,Artemisia tridentata Nutt. ssp. xericensis Winward ex R. Rosentreter & R. Kelsey,big sagebrush
ASDE19,Aspicilia desertorum (Krempelh.) Mereschk.,desert aspicilia
ASFR11,Aspicilia fruticulosa (Eversm.) Flagey,
ASAM2,Astragalus amblytropis Barneby,Challis milkvetch
ASAM4,Astragalus amnis-amissi Barneby ex C.L. Hitchc.,Custer milkvetch
ASAQ2,Astragalus aquilonius (Barneby) Barneby,Lemhi milkvetch
ASAR7,Astragalus arrectus A. Gray,Palouse milkvetch
ASAR8,Astragalus arthurii M.E. Jones,waha milkvetch
ASATI,Astragalus atratus S. Watson var. inseptus Barneby,Fairfield milkvetch
ASBES,Astragalus beckwithii Torr. & A. Gray var. sulcatus Barneby,Beckwith's milkvetch
ASCA10,Astragalus camptopus Barneby,Bruneau milkvetch
ASCA12,Astragalus caricinus (M.E. Jones) Barneby,buckwheat milkvetch
ASCH6,Astragalus chinensis L. f.,Chinese milkvetch
ASCO7,Astragalus collinus Douglas ex G. Don,hillside milkvetch
ASCOC7,Astragalus collinus Douglas ex G. Don var. collinus ,hillside milkvetch
ASCO11,Astragalus conjunctus S. Watson,Idaho milkvetch
ASCOC10,Astragalus conjunctus S. Watson var. conjunctus ,Idaho milkvetch
ASCU5,Astragalus cusickii A. Gray,Cusick's milkvetch
ASCUC2,Astragalus cusickii A. Gray var. cusickii ,Cusick's milkvetch
ASCUF,Astragalus cusickii A. Gray var. flexilipes Barneby,Cusick's milkvetch
ASCUP,Astragalus cusickii A. Gray var. packardiae Barneby,Packard's milkvetch
ASCUS2,Astragalus cusickii A. Gray var. sterilis (Barneby) Barneby,barren milkvetch
ASMU,Astragalus mulfordiae M.E. Jones,Mulford's milkvetch
ASNU2,Astragalus nudisiliquus A. Nelson,cobblestone milkvetch
ASON2,Astragalus oniciformis Barneby,Picabo milkvetch
ASPUO,Astragalus purshii Douglas ex Hook. var. ophiogenes (Barneby) Barneby,Snake River milkvetch
ASRE5,Astragalus reventus A. Gray,Blue Mountain milkvetch
ASRI,Astragalus riparius Barneby,woodyroot milkvetch
ASSH2,Astragalus sheldonii (Rydb.) Barneby,Sheldon's milkvetch
ASSP4,Astragalus spaldingii A. Gray,Spalding's milkvetch
ASVA3,Astragalus vallaris M.E. Jones,Snake canyon milkvetch
ASVEN,Astragalus vexilliflexus Sheldon var. nubilus Barneby,White Clouds milkvetch
ASWHS2,Astragalus whitneyi A. Gray var. sonneanus (Greene) Jeps.,balloonpod milkvetch
BAHOI,Balsamorhiza hookeri (Hook.) Nutt. var. idahoensis (Sharp) Cronquist,Idaho balsamroot
BESA3,Betula ×sargentii Dugle [nana × pumila],birch
BOOR,Bolandra oregana S. Watson,northern false coolwort
BOIN4,Boykinia intermedia (Piper) G.N. Jones,Sierra brookfoam
CAELE,Calochortus elegans Pursh var. elegans ,elegant mariposa lily
CAMAM,Calochortus macrocarpus Douglas var. maculosus (A. Nelson & J.F. Macbr.) A. Nelson & J.F. Macbr.,Nez Perce mariposa lily
CANI,Calochortus nitidus Douglas,broadfruit mariposa lily
CACU2,Camassia cusickii S. Watson,Cusick's camas
CAPY5,Camissonia pygmaea (Douglas ex Lehm.) P.H. Raven,dwarf suncup
CACO27,Cardamine constancei Detling,Constance's bittercress
CAAB18,Carex aboriginum M.E. Jones,Indian Valley sedge
CABRP2,Carex brunnescens (Pers.) Poir. ssp. pacifica Kalela,Pacific brownish sedge
CAIN17,Carex interrupta Boeckeler,greenfruit sedge
CAPI6,Carex piperi Mack.,Piper's sedge
CAVI3,Carex vicaria L.H. Bailey,western fox sedge
CACH19,Castilleja christii N.H. Holmgren,Christ's Indian paintbrush
CAGL10,Castilleja glandulifera Pennell,gland Indian paintbrush
CAOR4,Castilleja oresbia Greenm.,pale Wallowa Indian paintbrush
CACO78,Catapyrenium congestum Breuss & McCune,
CHCU,Chaenactis cusickii A. Gray,Cusick's pincushion
CHEV,Chaenactis evermannii Greene,Evermann's pincushion
CIBR,Cirsium brevifolium Nutt.,Palouse thistle
CIED,Cirsium edule Nutt.,edible thistle
CLLAI,Claytonia lanceolata Pall. ex Pursh var. idahoensis R.J. Davis,Idaho springbeauty
CLMA3,Cleomella macbrideana Payson,MacBride cleomella
COMA3,Collomia macrocalyx Leiberg ex Brand,bristleflower collomia
COPA37,Corispermum pacificum Mosyakin,common bugseed
COCAC,Corydalis caseana A. Gray ssp. cusickii (S. Watson) G.B. Ownbey,Cusick's fumewort
COCAH2,Corydalis caseana A. Gray ssp. hastata (Rydb.) G.B. Ownbey,Sierra fumewort
CRBAI,Crepis bakeri Greene ssp. idahoensis Babc. & Stebbins,Idaho hawksbeard
CRPR3,Cryptantha propria (A. Nelson & J.F. Macbr.) Payson,Malheur cryptantha
CRSA6,Cryptantha salmonensis (A. Nelson & J.F. Macbr.) Payson,Salmon River cryptantha
CYDA3,Cymopterus davisii R.L. Hartm.,Davis' springparsley
CYDO2,Cymopterus douglassii R.L. Hartm. & Constance,Douglass' springparsley
DADA,Dasynotus daubenmirei I.M. Johnst.,Rocky Mountain whitethroat
DODED2,Dodecatheon dentatum Hook. ssp. dentatum ,white shootingstar
DOID,Douglasia idahoensis Douglass M. Hend.,Idaho dwarf-primrose
DRAR2,Draba argyrea Rydb.,silver draba
DRHI2,Draba hitchcockii Rollins,Lost River draba
DRORO,Draba oreibata J.F. Macbr. & Payson ex Payson var. oreibata ,limestone draba
DRSP2,Draba sphaerocarpa J.F. Macbr. & Payson,globefruit draba
DRTR3,Draba trichocarpa Rollins,Stanley Creek draba
ELHO3,Elymus hoffmannii K.B. Jensen & K.H. Asay,RS wheatgrass
ELWA2,Elymus wawawaiensis J. Carlson & Barkworth,Snake River wheatgrass
ERNAN4,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird ssp. nauseosa var. nana (Cronquist) G.L. Nesom & Baird,rubber rabbitbrush
ERPAS,Ericameria parryi (A. Gray) G.L. Nesom & Baird var. salmonensis (L.C. Anderson) G.L. Nesom & Baird,Parry's rabbitbrush
ERRE8,Ericameria resinosa Nutt.,Columbian goldenbush
ERDI3,Erigeron disparipilus Cronquist,white cushion fleabane
EREAL,Erigeron eatonii A. Gray var. lavandulus Strother & Ferlatte,Eaton's fleabane
EREAV2,Erigeron eatonii A. Gray var. villosus (Cronquist) Cronquist,Eaton's fleabane
EREND,Erigeron engelmannii A. Nelson var. davisii (Cronquist) Cronquist,Davis' fleabane
ERPEP,Erigeron peregrinus (Banks ex Pursh) Greene ssp. peregrinus ,subalpine fleabane
ERPED2,Erigeron peregrinus (Banks ex Pursh) Greene ssp. peregrinus var. dawsonii Greene,subalpine fleabane
ERPO2,Erigeron poliospermus A. Gray,purple cushion fleabane
ERPOP,Erigeron poliospermus A. Gray var. poliospermus ,purple cushion fleabane
ERSA19,Erigeron salmonensis S.J. Brunsfeld & G.L. Nesom,Salmon River fleabane
ERCAC3,Eriogonum capistratum Reveal var. capistratum ,hidden buckwheat
ERCAW2,Eriogonum capistratum Reveal var. welshii ,Welsh's buckwheat
ERCOL2,Eriogonum compositum Douglas ex Benth. var. leianthum Hook.,arrowleaf buckwheat
ERHEA2,Eriogonum heracleoides Nutt. var. angustifolium (Nutt.) Torr. & A. Gray,parsnipflower buckwheat
ERHEL,Eriogonum heracleoides Nutt. var. leucophaeum Reveal,parsnipflower buckwheat
ERME6,Eriogonum meledonum Reveal,bridle buckwheat
ERMIM2,Eriogonum microthecum Nutt. var. microthecum ,slender buckwheat
ERNI2,Eriogonum niveum Douglas ex Benth.,snow buckwheat
EROCC,Eriogonum ochrocephalum S. Watson var. calcareum (S. Stokes) M. Peck,whitewoolly buckwheat
EROCS,Eriogonum ochrocephalum S. Watson var. sceptrum Reveal,whitewoolly buckwheat
EROVF2,Eriogonum ovalifolium Nutt. var. focarium Reveal & Mansfield,Craters of the Moon cushion buckwheat
ERSPF,Eriogonum sphaerocephalum Douglas ex Benth. var. fasciculifolium (A. Nelson) S. Stokes,rock buckwheat
ERSTS3,Eriogonum strictum Benth. ssp. strictum ,Blue Mountain buckwheat
ERTH4,Eriogonum thymoides Benth.,thymeleaf buckwheat
ERUMD2,Eriogonum umbellatum Torr. var. devestivum Reveal,sulphur-flower buckwheat
ERVE6,Eriogonum verrucosum Reveal,graceful buckwheat
EROC3,Erysimum occidentale (S. Watson) B.L. Rob.,pale wallflower
FRALC2,Frasera albicaulis Douglas ex Griseb. var. cusickii (A. Gray) C.L. Hitchc.,Cusick's frasera
FRALI,Frasera albicaulis Douglas ex Griseb. var. idahoensis (H. St. John) C.L. Hitchc.,Idaho frasera
FRMO,Frasera montana Mulford,white frasera
GRCO,Grindelia columbiana (Piper) Rydb.,Columbia River gumweed
HACI4,Hackelia ciliata (Douglas ex Lehm.) I.M. Johnst.,Okanogan stickseed
HACR4,Hackelia cronquistii J.L. Gentry,Cronquist's stickseed
HADA,Hackelia davisii Cronquist,Davis' stickseed
HAHI3,Hackelia hispida (A. Gray) I.M. Johnst.,showy stickseed
HAHIH,Hackelia hispida (A. Gray) I.M. Johnst. var. hispida ,showy stickseed
HAPEP,Halimolobos perplexa (L.F. Hend.) Rollins var. perplexa ,perplexed halimolobos
HECYO,"Heuchera cylindrica Douglas ex Hook. var. orbicularis (Rosend., Butters & Lakela) Calder & Savile",poker alumroot
HEGRT,Heuchera grossulariifolia Rydb. var. tenuifolia (Wheelock) C.L. Hitchc.,gooseberryleaf alumroot
HERUT,"Heuchera rubescens Torr. var. truncata Rosend., Butters & Lakela",pink alumroot
HIGL3,Hieracium glomeratum Froel.,queen-devil hawkweed
HYFII,Hymenopappus filifolius Hook. var. idahoensis B.L. Turner,Idaho hymenopappus
LANEP4,Lathyrus nevadensis S. Watson ssp. lanceolatus (Howell) C.L. Hitchc. var. parkeri (H. St. John) C.L. Hitchc.,Sierra pea
LAPAP2,Lathyrus pauciflorus Fernald var. pauciflorus ,fewflower pea
LEPA17,Lepidium papilliferum (L.F. Hend.) A. Nelson & J.F. Macbr.,Idaho pepperweed
LEHO7,Lepyrodiclis holosteoides (C.A. Mey.) Fenzl ex Fisch. & C.A. Mey.,false jagged-ckickweed
LEOB13,Lesquerella obdeltata Rollins,Middle Butte bladderpod
LESA17,Lewisia sacajaweana B.L. Wilson & E. Rey-Vizg.,Sacajawea bitter root
LOBE4,Lomatium bentonitum K.M. Carlson & Mansfield,bentonite desertparsley
LOBR9,Lomatium brunsfeldianum Kemper & R.P. McNeill,Brunsfeld's desertparsley
LOGO,Lomatium gormanii (Howell) J.M. Coult. & Rose,Gorman's biscuitroot
LOID,Lomatium idahoense Mathias & Constance,Idaho biscuitroot
LORO2,Lomatium rollinsii Mathias & Constance,Rollins' biscuitroot
LOSA2,Lomatium salmoniflorum (J.M. Coult. & Rose) Mathias & Constance,salmonflower biscuitroot
LOSE2,Lomatium serpentinum (M.E. Jones) Mathias,sweetscented biscuitroot
LUARN,Lupinus arbustus Douglas ex Lindl. ssp. neolaxiflorus D. Dunn,longspur lupine
LUARL,Lupinus aridus Douglas ssp. lenorensis (C.P. Sm.) Cox,desert lupine
LUARL2,Lupinus aridus Douglas ssp. loloensis Cox,desert lupine
LULYA,Lupinus lyallii A. Gray ssp. alcis-temporis (C.P. Sm.) Cox,dwarf mountain lupine
LUOR2,Lupinus ornatus Douglas ex Lindl.,ornate lupine
LUSEM5,Lupinus sericeus Pursh ssp. sericeus var. maximus C.P. Sm. ex Fleak & D. Dunn,silky lupine
MACAS2,Machaeranthera canescens (Pursh) A. Gray ssp. canescens var. sessiliflora (Nutt.) B.L. Turner,hoary tansyaster
METOA,Mentzelia torreyi A. Gray var. acerosa (M.E. Jones) Barneby,Torrey's blazingstar
MECA6,Mertensia campanulata A. Nelson,Idaho bluebells
MIVE3,Milium vernale M. Bieb.,spring milletgrass
MIHY,Mimulus hymenophyllus R.J. Meinke,thinsepal monkeyflower
MITIC,Mimulus tilingii Regel var. caespitosus (Greene) A.L. Grant,subalpine monkeyflower
MIMA2,Mirabilis macfarlanei Constance & Rollins,MacFarlane's four o'clock
NAARA,Nama aretioides (Hook. & Arn.) Brand var. aretioides ,ground nama
NEKI,Nemophila kirtleyi L.F. Hend.,Kirtley's nemophila
OEPS2,"Oenothera psammophila (A. Nelson & J.F. Macbr.) W.L. Wagner, Stockhouse & Klein",St. Anthony Dunes evening primrose
OPCO13,Opuntia ×columbiana Griffiths (pro sp.) [fragilis × polyacantha],grizzleybear pricklypear
OXBES,Oxytropis besseyi (Rydb.) Blank. var. salmonensis Barneby,Salmon River locoweed
PEBRL,Pedicularis bracteosa Benth. var. latifolia (Pennell) Cronquist,widepetal lousewort
PENI5,Pediocactus nigrispinus (Hochstätter) Hochstätter,snowball cactus
PEATP4,Penstemon attenuatus Douglas ex Lindl. var. palustris (Pennell) Cronquist,sulphur beardtongue
PECU,Penstemon cusickii A. Gray,Cusick's beardtongue
PEEL4,Penstemon elegantulus Pennell,rockvine penstemon
PEFRS,Penstemon fruticosus (Pursh) Greene var. scouleri (Lindl.) Cronquist,littleleaf bush penstemon
PEFRS2,Penstemon fruticosus (Pursh) Greene var. serratus (D.D. Keck) Cronquist,sawleaf bush penstemon
PEGA,Penstemon gairdneri Hook.,Gairdner's beardtongue
PEGAO2,Penstemon gairdneri Hook. var. oreganus A. Gray,Gairdner's beardtongue
PEGL4,Penstemon glandulosus Douglas,stickystem penstemon
PEGLG3,Penstemon glandulosus Douglas var. glandulosus ,stickystem penstemon
PELA17,Penstemon laxus A. Nelson,tufted penstemon
PEMI3,Penstemon miser A. Gray,Malheur penstemon
PEMOI2,Penstemon montanus Greene var. idahoensis (Pennell & D.D. Keck) Cronquist,Central Idaho penstemon
PEPE12,Penstemon perpulcher A. Nelson,Minidoka beardtongue
PEPU12,Penstemon pumilus Nutt.,Salmon River beardtongue
PESE12,Penstemon seorsus (A. Nelson) D.D. Keck,shortlobe penstemon
PETR6,Penstemon triphyllus Douglas ex Lindl.,Riggin's penstemon
PHID,Phacelia idahoensis L.F. Hend.,Idaho phacelia
PHAC2,Phlox aculeata A. Nelson,sagebrush phlox
PHCO10,Phlox colubrina Wherry & Constance,Snake River phlox
PHID2,Phlox idahonis Wherry,Clearwater phlox
PHKEG,Phlox kelseyi Britton ssp. glandulosa Wherry,marsh phlox
PHMO6,Phlox mollis Wherry,soft phlox
PHSPS,Phlox speciosa Pursh ssp. speciosa ,showy phlox
PHDIL2,Physaria didymocarpa (Hook.) A. Gray var. lyrata C.L. Hitchc.,Idaho twinpod
PHGEP,Physaria geyeri (Hook.) A. Gray var. purpurea Rollins,purple twinpod
PHOR2,Physaria oregona S. Watson,Oregon twinpod
POLE,Poa leibergii Scribn.,Leiberg's bluegrass
POEL5,Polemonium elusum J.J. Irwin & R.L. Hartm.,elusive Jacob's-ladder
POPUL3,Polemonium pulcherrimum Hook. ssp. lindleyi (Wherry) V.E. Grant,Jacob's-ladder
POPO3,Polygonum polycnemoides Jaubert & Spach,manyleg knotweed
POGRO,Potentilla gracilis Douglas ex Hook. var. owyheensis Ertter & Mansfield,Owyhee cinquefoil
PRAL,Prenanthes alata (Hook.) D. Dietr.,western rattlesnakeroot
PYHIS,Pyrrocoma hirta (A. Gray) Greene var. sonchifolia (Greene) Kartesz & Gandhi,tacky goldenweed
PYIN2,Pyrrocoma insecticruris L.F. Hend.,wholeleaf goldenweed
PYLI,Pyrrocoma liatriformis Greene,smallhead goldenweed
PYLI2,Pyrrocoma linearis (D.D. Keck) Kartesz & Gandhi,thinleaf goldenhead
PYRA2,Pyrrocoma radiata Nutt.,ray goldenweed
PYSC4,Pyrrocoma scaberula Greene,Palouse goldenweed
RAOR2,Ranunculus oresterus L.D. Benson,Blue Mountain buttercup
RIAC,Ribes acerifolium Howell,mapleleaf currant
RICEC,Ribes cereum Douglas var. colubrinum C.L. Hitchc.,wax currant
ROCUL,Rorippa curvisiliqua (Hook.) Besser ex Britton var. lyrata (Nutt.) M. Peck ex C.L. Hitchc.,lyrateleaf yellowcress
RUBA,Rubus bartonianus M. Peck,Barton's raspberry
SABRT,Saxifraga bryophora A. Gray var. tobiasiae J. Grimes & Packard,Tobias' saxifrage
SCANA2,Scutellaria angustifolia Pursh ssp. angustifolia ,narrowleaf skullcap
SERU3,Sedum rupicola G.N. Jones,curvedleaf stonecrop
SEVA5,Sedum valens Björk,Idaho stonecrop
SEDO,Selaginella douglasii (Hook. & Grev.) Spring,Douglas' spikemoss
SPSPR,Spiraea splendens Baumann ex K. Koch var. rosea (A. Gray) Kartesz & Gandhi,rose meadowsweet
STCO2,Stanleya confertiflora (B.L. Rob.) Howell,Oregon princesplume
STTOR,Stanleya tomentosa Parry var. runcinata (Rydb.) Rollins,woolly princesplume
STOX2,Stellaria oxyphylla B.L. Rob.,robust starwort
STST3,Streptopus streptopoides (Ledeb.) Frye & Rigg,small twistedstalk
STSTS,Streptopus streptopoides (Ledeb.) Frye & Rigg ssp. streptopoides ,small twistedstalk
STSTB,Streptopus streptopoides (Ledeb.) Frye & Rigg ssp. streptopoides var. brevipes (Baker) Fassett,small twistedstalk
SYJE,Symphyotrichum jessicae (Piper) G.L. Nesom,Jessica's aster
SYPL,Synthyris platycarpa Gail & Pennell,Idaho kittentails
TATE3,Tauschia tenuissima (Geyer ex Hook.) Mathias & Constance,Leiberg's umbrellawort
THRE2,Thelypodium repandum Rollins,wavyleaf thelypody
TOFL,Tonella floribunda A. Gray,manyflower tonella
TROCB,Triantha occidentalis (S. Watson) Gates ssp. brevistyla (C.L. Hitchc.) Packer,sticky tofieldia
TRDO,Trifolium douglasii House,Douglas' clover
TRERM,Trifolium eriocephalum Nutt. ssp. martinii J.M. Gillett,Martin's clover
TRLOP,Trifolium longipes Nutt. ssp. pedunculatum (Rydb.) J.M. Gillett,longstalk clover
TROW,Trifolium owyheense Gilkey,Owyhee clover
TRPL2,Trifolium plumosum Douglas ex Hook.,plumed clover
TRPLA,Trifolium plumosum Douglas ex Hook. ssp. amplifolium (J.S. Martin) J.M. Gillett,bigleaf clover
TRPE3,Trillium petiolatum Pursh,Idaho trillium
VECAC,Veratrum californicum Durand var. caudatum (A. Heller) C.L. Hitchc.,Cascade false hellebore
WYCU,Wyethia ×cusickii Piper (pro sp.) [amplexicaulis × helianthoides],mule-ears
LEPI15,×Leydeum piperi (Bowden) Barkworth [Hordeum jubatum × Leymus triticoides],hybrid ryegrass
ACMIL2,Achillea millefolium L. var. litoralis Ehrend. ex Nobs,coast yarrow
ACCA31,Achnatherum caudatum (Trin.) S.L.W. Jacobs & J. Everett,Chilean ricegrass
ACWA,Achnatherum wallowaense Maze & K.A. Robson,Wallowa needlegrass
ACEL4,Actaea elata (Nutt.) Prantl,tall bugbane
ACLA12,Actaea laciniata (S. Watson) J. Compton,Mt. Hood bugbane
AGOC,Agastache occidentalis (Piper) A. Heller,western giant hyssop
AGAE,Agrostis aequivalvis (Trin.) Trin.,arctic bentgrass
AGHO2,Agrostis howellii Scribn.,Howell's bentgrass
ALCR4,Allium crenulatum Wiegand,Olympic onion
ALDI3,Allium dictuon H. St. John,Blue Mountain onion
ALMA5,Allium macrum S. Watson,rock onion
ALNE4,Allium nevii S. Watson,Nevius' garlic
ALNI,Allium nigrum L.,black garlic
ALPL3,Allium pleianthum S. Watson,manyflower onion
ALRO,Allium robinsonii L.F. Hend.,Robinson's onion
ALCO16,Alyssum corsicum Duby,
AMCA8,Amsinckia carinata A. Nelson & J.F. Macbr.,Malheur Valley fiddleneck
ANCA29,Anchusa capensis Thunb.,Cape bugloss
ANORF,Anemone oregana A. Gray var. felix (M. Peck) C.L. Hitchc.,bog anemone
ANCA11,Angelica canbyi J.M. Coult. & Rose,Canby's angelica
ANAL11,Anthemis altissima L.,tall chamomile
ARFU,Arabis furcata S. Watson,Columbia Gorge rockcress
ARFUF2,Arabis furcata S. Watson var. furcata ,Columbia Gorge rockcress
ARHA2,Arabis hastatula Greene,eared rockcress
ARKOK,Arabis koehleri Howell var. koehleri ,Koehler's rockcress
ARLEP,Arabis lemmonii S. Watson var. paddoensis Rollins,Paddo rockcress
ARSPA2,Arabis sparsiflora Nutt. var. atrorubens (Suksd. ex Greene) Rollins,elegant rockcress
ARCOP,Arenaria congesta Nutt. var. prolifera Maguire,ballhead sandwort
ARFRT,Arenaria franklinii Douglas ex Hook. var. thompsonii M. Peck,Thompson's sandwort
ARPU6,Arenaria pumicola Coville & Leiberg,Crater Lake sandwort
ARSI5,Argusia sibirica (L.) Dandy,Siberian sea rosemary
ARCAW,Artemisia campestris L. ssp. borealis (Pall.) H.M. Hall & Clem. var. wormskioldii (Besser ex Hook.) Cronquist,field sagewort
ARLUE,Artemisia ludoviciana Nutt. ssp. estesii K.L. Chambers,white sagebrush
ASWA6,Asarum wagneri Lu & Mesler,longtail wildginger
ASACA2,Astragalus accidens S. Watson var. accidens ,Rogue River milkvetch
ASAP,Astragalus applegatei M. Peck,Applegate's milkvetch
ASCOL,Astragalus collinus Douglas ex G. Don var. laurentii (Rydb.) Barneby,Laurent's milkvetch
ASCOR2,"Astragalus conjunctus S. Watson var. rickardii S.L. Welsh, K. Beck & F. Caplow",Idaho milkvetch
ASCUB,Astragalus curvicarpus (A. Heller) J.F. Macbr. var. brachycodon (Barneby) Barneby,curvepod milkvetch
ASCUS,Astragalus curvicarpus (A. Heller) J.F. Macbr. var. subglaber (Rydb.) Barneby,smooth loco milkvetch
ASDI2,Astragalus diaphanus Douglas ex Hook.,transparent milkvetch
ASHO,Astragalus hoodianus Howell,Hood River milkvetch
ASHO3,Astragalus howellii A. Gray,Howell's milkvetch
ASKED2,Astragalus kentrophyta A. Gray var. douglasii Barneby,Douglas' spiny milkvetch
ASMI8,Astragalus misellus S. Watson,pauper milkvetch
ASMIM3,Astragalus misellus S. Watson var. misellus ,pauper milkvetch
ASPE4,Astragalus peckii Piper,Peck's milkvetch
